date	value	variance_size	variance_mle	num_seqs	times	cases_on_mean_date	cases_on_all_dates_in_seqbin	num_days_per_bin
2019-12-25	8.703870662905702	0.5	1.8002876293984265	2	0	0	0	2.0
2019-12-30	5.746402803044974	0.037037037037037035	9.999999675124094	27	1	0	59.0	6.0
2020-01-10	12.21481737435565	0.16666666666666666	4.8808657478873645	6	2	0.0	0.0	3.0
2020-01-16	10.805608645300213	0.045454545454545456	11.999997711625165	22	3	0.0	157.0	6.0
2020-01-23	57.185059104535284	0.006622516556291391	73.89080099642649	151	4	97.0	1772.0	6.0
2020-01-30	97.33209299387171	0.006802721088435374	89.58441619584714	147	5	1740.0	12411.0	6.0
2020-02-05	60.7012803195742	0.010869565217391304	55.99807266184304	92	6	3872.0	22833.0	6.0
2020-02-11	16.98525834107026	0.02857142857142857	18.999954117891864	35	7	2490.0	29327.0	5.0
2020-02-20	29.64304602312714	0.05	15.284866298190616	20	8	394.0	6560.0	6.0
2020-02-26	25.260997238246148	0.02857142857142857	21.96250431404738	35	9	410.0	2913.0	6.0
2020-03-03	40.314336821907496	0.024390243902439025	28.28515099176315	41	10	127.0	839.0	5.0
2020-03-13	27.357622268310664	0.037037037037037035	18.783460688732028	27	11	22.0	107.0	5.0
2020-03-18	41.41747643689727	0.02127659574468085	31.40963573294297	47	12	23.0	351.0	6.0
2020-03-24	32.52370454434467	0.06666666666666667	12.334921826813774	15	13	69.0	492.0	6.0
2020-04-15	8.703870662905702	0.5	1.8002876293984265	2	14	49.0	99.0	1.0
2020-06-11	8.703870662905702	0.5	1.8002876293984265	2	15	11.0	11.0	0.0
2020-07-15	5.332232238308699	1.0	0.9165193344208797	1	16	54.0	54.0	0.0
2020-07-22	0.42796074928733924	0.25	1.0000000249784975	4	17	74.0	74.0	0.0
2020-09-13	5.332232238308699	1.0	0.9165193344208797	1	18	23.0	23.0	0.0
2020-09-24	8.703870662905702	0.5	1.8002876293984265	2	19	10.0	10.0	0.0
